具体地点,职位名称,工资,福利tag,公司名称,公司标签,其他标签,岗位要求,是否为推广,会员商家,发布时间,抓取时间,平台
北京·朝阳区·高碑店,普工,4-7K,"做六休一缴纳社保月结工资有餐补4-8人间宿舍车间流水线
五险一金，加班补助，员工旅游，餐补，节日福利",北京天泽润,广告营销|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·通州区·马驹桥,普工,4-6K,"坐班做六休一月结工资会识字，乐于沟通
五险一金，餐补，住房补贴",中科森阳,电子/半导体/集成电路|不需要融资|20-99人,,1-3年|中专/中技,,,,2025/02/19 10:37:03,boss
北京·大兴区·庞各庄,普工/操作工,7-8K,"做六休一有空调缴纳社保工作餐免费读写26个字母住宿免费日结工资4人间宿舍不穿无尘服体检免费厂内食堂恒温车间免体检包进
带薪年假，五险一金，股票期权，定期体检，年终奖，餐补",京东物流-华北区域,快递|已上市|10000人以上,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·昌平区·阳坊,普通工人,4-5.5K,有WIFI月结工资住宿免费鱼池勤杂收鱼工人缴纳商保,北京阳坊长宝养殖场,农/林/牧/渔|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·海淀区·上地,盒马鲜生招聘搬运工/装卸工,7-8K,健康证白班夜班月结不包吃住,盒马鲜生,生活服务(O2O)|不需要融资|10000人以上,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·顺义区·后沙峪,普工/操作工,5-6K,"工作餐免费4人间宿舍有空调缴纳社保不穿无尘服恒温车间车间流水线长白班月结工资读写26个字母
五险一金，底薪加提成，宿舍有空调，工龄奖，免费工装，节日福利，包吃，加班补助，全勤奖，保底工资，包住，意外险",北京华璞钻石,珠宝/首饰|未融资|500-999人,,经验不限|中专/中技,,,,2025/02/19 10:37:03,boss
北京,招普工,5-8K,"午餐免费工作餐免费住宿免费有WIFI有空调缴纳商保月结工资
交通补助，包吃，包住，有无线网，加班补助，意外险，年终奖",盛世京源,广播/影视|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·顺义区·光明,车间普工,5-7.8K,三餐免费2人间宿舍有空调水电免费缴纳社保恒温车间做六休一长白班月结工资,佳诚佳信,机械设备/机电/重工|0-20人,,1年以内|学历不限,,,,2025/02/19 10:37:01,boss
北京·海淀区·西北旺,电子厂普工,4-8K,,恒电,原材料及加工/模具|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·沙河,昌平沙河姜屯电子厂招普工 组装焊接操作工,4-6K,午餐免费做六休一电子厂招工月结工资求职普工厂内食堂车间流水线,同为环保,电子/半导体/集成电路|不需要融资|0-20人,,经验不限|初中及以下,,,,2025/02/19 10:37:01,boss
北京·顺义区·央美博艺艺术馆,普工/操作工,3.5-5K,"厂内食堂4人间宿舍做六休一月结工资
全勤奖，节日福利，包吃，加班补助，包住",北京麒芯科技有限公司,半导体/芯片|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·马池口,组装工普工 操作工 电子焊接,4-5K,做六休一缴纳社保工作餐免费不看显微镜组装工烙铁焊接组装读写26个字母长白班坐班月结工资不穿无尘服厂内食堂恒温车间月休四天,所为,电子/半导体/集成电路|未融资|20-99人,,1年以内|初中及以下,,,,2025/02/19 10:37:01,boss
北京·昌平区·沙河,佳和康华招聘普工/操作工,4-6K,"做五休二缴纳社保月结工资有餐补
餐补，零食下午茶，员工旅游，加班补助，年终奖，五险一金，节日福利，带薪年假",佳和康华,仪器仪表/工业自动化|未融资|20-99人,,经验不限|大专,,,,2025/02/19 10:37:01,boss
北京·大兴区·亦庄,普工/操作工,4-6K,"三餐免费住宿免费夫妻房有空调
全勤奖",天都盛丰,生活服务(O2O)|不需要融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·百善,医疗器械厂招聘普工,5-6K,需穿无尘服做六休一长白班坐班厂内食堂恒温车间缴纳商保,北京巡河炮物业管理,其他生活服务|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·西城区·六铺炕,普工/操作工,4.5-7K,有餐补做五休二月结工资免体检包进,米神科技,电子/半导体/集成电路|0-20人,,经验不限|大专,,,,2025/02/19 10:37:01,boss
北京·大兴区·亦庄,博益智工招聘普工/操作工,5-6K,"三餐免费4-8人间宿舍两班倒周结工资
包吃，包住，保底工资，底薪加提成，带薪年假，绩效奖金，意外险，五险一金，年终奖",博益智工,仪器仪表/工业自动化|不需要融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·大兴区·庞各庄,生产普工,6-7K,三餐免费住宿免费缴纳商保车间流水线长白班月结工资免体检包进,永成兴,建筑材料|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京,生产普工,4-7K,三餐免费住宿免费月结工资,美美康洁,其他生活服务|20-99人,,经验不限|初中及以下,,,,2025/02/19 10:37:01,boss
北京·朝阳区·太阳宫,8小时月不压工资普工,5-7.1K,4人间宿舍,成都启恒远大物流,即时配送|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·海淀区·西北旺,电子普工,5-6.7K,"2人间宿舍
五险一金",北京宝宁电子技术,电子商务|未融资|0-20人,,经验不限|中专/中技,,,,2025/02/19 10:37:01,boss
北京·通州区·马驹桥,大型真人秀活动音频普工,4-5K,"责任心强，学习力强。
五险一金",德缘益合,其他生活服务|未融资|0-20人,,经验不限|中专/中技,,,,2025/02/19 10:37:01,boss
北京·通州区·马驹桥,索莱宝招聘普工/操作工,5-6K,"不穿无尘服长白班月结工资五险一金双休
免费班车，生日福利，全勤奖，绩效奖金，节日福利，加班补助，住房补贴，年终奖，交通补助，五险一金，餐补，工龄奖，包住，通讯补贴，带薪年假，节假日加班费，定期体检，补充医疗保险，员工旅游",索莱宝,广告营销|未融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·顺义区·仁和,普工,7-8K,三餐免费住宿免费有WIFI有空调,东顺源,交通/运输|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·马池口,普工/操作工,4-5K,有餐补4人间宿舍缴纳商保恒温车间车间流水线做六休一月结工资读写26个字母,北京高汇联电子科技,电子/半导体/集成电路|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·通州区·李桥,普工/学徒工,2.5-5K,"午餐免费有餐补住宿免费有WIFI有空调缴纳社保不穿无尘服坐班做五休二周结工资体检免费免体检包进读写26个字母工作环境优越小型工作室
年终奖，全勤奖，宿舍有空调，餐补，保底工资，包住，加班补助，有无线网，底薪加提成，绩效奖金，包吃",宗作模型科技,文化艺术/娱乐|未融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·北七家,优秀踏实长期工作人员普工3人木工3人,5-6K,,海钰园林,工程施工|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·朝阳区·高碑店,普工/操作工/汽车改装/贴膜,4-6K,工作餐免费月结工资4人间宿舍缴纳商保,华夏坦途,其他生活服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·北七家,普工,3.5-7K,"住宿免费午餐免费
保底工资，底薪加提成，节日福利，包住，全勤奖，住房补贴，包吃，有无线网，五险一金，绩效奖金，带薪年假，员工旅游，宿舍有空调，交通补助，通讯补贴，团建聚餐，免费工装，年终奖，零食下午茶，夜班补助",北京润泽康源科技,其他生活服务|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·丰台区·云岗,鸿泰元丰招聘电工,4-7K,包吃住,鸿泰元丰,工程施工|0-20人,,经验不限|中专/中技,,,,2025/02/19 10:37:01,boss
北京·平谷区·兴谷,普工/操作工,5-6K,需穿无尘服长白班2人间宿舍工作餐免费周结工资缴纳商保,北京原麦山丘食品...,互联网|未融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·大兴区·庞各庄,库房普工,5-6K,三餐免费2人间宿舍长白班月结工资,康隆聚鑫,批发/零售|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·大兴区·天宫院,普工/操作工,5-7K,企业年金，节日福利，健身俱乐部，带薪年假，包吃，定期体检，法定节假日三薪，绩效奖金，生日福利，五险一金,同仁堂健康,医疗健康|不需要融资|10000人以上,,1-3年|高中,,,,2025/02/19 10:37:02,boss
北京·顺义区·后沙峪,普工/操作工/小时工,5-6K,,聚鑫伟业人力资源,人力资源服务|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·大兴区·马驹桥,北京中渲物流有限公司招聘普工/操作工,6-7K,"缴纳社保做六休一有餐补
全勤奖，节日福利，加班补助，定期体检，员工旅游，年终奖，住房补贴，团建聚餐，五险一金，夜班补助，法定节假日三薪，免费工装，带薪年假，有无线网，工龄奖，免费班车，宿舍有空调，生日福利",北京中渲物流有限公司,公路物流|500-999人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·顺义区·马坡,普工,4.5-6K,三餐免费4人间宿舍住宿免费有空调缴纳商保不看显微镜不穿无尘服长白班月结工资免体检包进打包、普工,中消欣瑞,其他生活服务|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·房山区·韩村河,家具厂普工,7.2-8K,包吃包住,神达,原材料及加工/模具|20-99人,,经验不限|中专/中技,,,,2025/02/19 10:36:59,boss
北京·大兴区·亦庄,普工,5-6K,,辰诺,人力资源服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:36:59,boss
北京·顺义区·央美博艺艺术馆,中科银河芯招聘普工/操作工,7000-8000元/月,"长白班
免费工装，股票期权，团建聚餐，生日福利，年终奖，补充医疗保险，加班补助，员工旅游，带薪年假，节日福利，绩效奖金，五险一金，定期体检，全勤奖，零食下午茶",中科银河芯,半导体/芯片|B轮|100-499人,,经验不限|学历不限,,,,2025/02/19 10:36:59,boss
北京·大兴区·亦庄,睿智图像招聘普工/操作工,4-4.5K,带薪年假，五险一金，餐补,睿智图像,仪器仪表/工业自动化|未融资|20-99人,,经验不限|初中及以下,,,,2025/02/19 10:36:59,boss
北京·昌平区·沙河,希杰招聘普工/操作工,6-7K,"午餐免费2人间宿舍缴纳社保恒温车间车间流水线两班倒月结工资
带薪年假，年终奖，定期体检，加班补助，补充医疗保险，五险一金，节日福利",希杰,食品/饮料/烟酒|不需要融资|500-999人,,经验不限|中专/中技,,,,2025/02/19 10:36:59,boss
北京·大兴区·马驹桥,普工/操作工,5-7K,"包吃八小时工作制交通补助五险一金单位体检年终奖免费培训
通讯补贴，年终奖，加班补助，免费班车，带薪年假，餐补，五险一金，交通补助，节日福利，包吃",合康变频,机械设备/机电/重工|已上市|500-999人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·昌平区·北七家,派尔特医疗招聘普工/操作工,3-6K,"周末单休医疗器械加班费普工包吃绩效奖金组装工全职
五险一金，带薪年假，员工旅游",派尔特医疗,医疗健康|未融资|100-499人,,经验不限|初中及以下,,,,2025/02/19 10:37:00,boss
北京·通州区·永顺,普工,4-5.5K,"坐班月结工资4-8人间宿舍月休四天
包吃，绩效奖金，年终奖，生日福利，节日福利，包住，团建聚餐",盛世高歌,文化艺术/娱乐|不需要融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·房山区·窦店,普工/操作工,5.5-8K,"三餐免费厂内食堂2人间宿舍缴纳社保车间流水线长白班月结工资体检免费
员工旅游，包住宿，股票期权，包吃，五险一金，定期体检，节日福利",北京航天恒丰,生活服务(O2O)|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·房山区·窦店,普工,4.9-5K,"三餐免费住宿免费有WIFI有空调长白班月结工资
意外险，五险一金",北京喜乐迎宾商贸...,建筑材料|不需要融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京,普工/操作工,5-8K,缴纳社保坐班做六休一月结工资,北京光昱光电,电气机械/器材|0-20人,,经验不限|高中,,,,2025/02/19 10:37:00,boss
北京,普工/操作工,5-5.1K,,北京可佳永好科贸,其他制造业|20-99人,,经验不限|高中,,,,2025/02/19 10:37:00,boss
北京·大兴区·庞各庄,渔场普工,5.1-8K,三餐免费普工住宿免费水电免费,北京红运联合渔业...,农/林/牧/渔|0-20人,,1-3年|学历不限,,,,2025/02/19 10:37:00,boss
北京·西城区·陶然亭,普工/操作工,4-8K,"缴纳社保月结工资体检免费绩效奖金带薪年假
餐补，交通补助，全勤奖，带薪年假",标典科技,广告/公关/会展|未融资|0-20人,,1-3年|学历不限,,,,2025/02/19 10:37:00,boss
北京·昌平区·阳坊,普工/操作工,4-5K,全勤奖，定期体检，补充医疗保险，五险一金,鼎盛华威,智能硬件|未融资|20-99人,,1-3年|学历不限,,,,2025/02/19 10:37:00,boss
北京·通州区·果园,普工,5-6K,"三餐免费4-8人间宿舍有空调水电免费缴纳商保
保底工资，绩效奖金，定期体检，意外险",振安一方,生活服务(O2O)|不需要融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·通州区·张家湾,木制品生产普工、操作工、木工、包装工,5-8K,"厂内食堂有WIFI有空调水电免费缴纳社保不看显微镜不穿无尘服车间流水线长白班月结工资计件工资，多劳多得，年终奖金，五险一金
定期体检，补充医疗保险，员工旅游，年终奖，五险一金，带薪年假，节日福利",霍尔茨,建筑材料|未融资|500-999人,,经验不限|中专/中技,,,,2025/02/19 10:37:00,boss
北京,家具厂普工,5-7K,,北京恩邦家居有限公司,其他专业服务|0-20人,,1-3年|中专/中技,,,,2025/02/19 10:37:00,boss
北京·大兴区·庞各庄,工厂普工,5-6K,"厂内食堂缴纳社保长白班月结工资
餐补，免费工装，带薪年假，绩效奖金，保底工资，五险一金，高温补贴",和田汽车,汽车研发/制造|不需要融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·昌平区·阳坊,普工,170-190元/天,午餐免费做六休一全职兼职均可兼职,威德士,通信/网络设备|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·大兴区·亦庄,盛通印刷招聘普工/操作工,5-7K,"有空调做六休一三餐免费月结工资两班倒厂内食堂4-8人间宿舍月休四天缴纳商保
节日福利，免费班车，包住，包吃，员工旅游，带薪年假，加班补助，定期体检",盛通印刷,生活服务(O2O)|已上市|1000-9999人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·海淀区·上地,普工/操作工,4-7K,"缴纳社保坐班做五休二月结工资
五险一金",中嵌科技,智能硬件|天使轮|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·怀柔区·北房,普工/操作工,4-5K,"长白班三餐免费有WIFI月结工资4-8人间宿舍车间流水线缴纳商保水电免费
免费工装，有无线网，夜班补助，意外险",北京禹呈工贸有限公司,其他制造业|不需要融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·房山区·良乡,北京粽子包装普工,5-6K,长白班有空调三餐免费月结工资不看显微镜体检免费厂内食堂住宿免费车间流水线缴纳商保水电免费,河北德汇腾越人力,人力资源服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京,普工,4-6K,长白班三餐免费有WIFI月结工资读写26个字母住宿免费车间流水线水电免费,北京诺双阳装饰,新材料|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·昌平区·沙河,普通工人,5-8K,三餐免费4-8人间宿舍有空调水电免费,中天盛恒,批发/零售|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·朝阳区·青年路,工厂普工,4-5K,三餐免费住宿免费缴纳社保坐班车间流水线月休四天月结工资免体检包进听力残疾肢体残疾言语残疾听力残疾无限制言语残疾无限制上肢残疾,北京鸿运佳晟科技发展,其他生活服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·昌平区·阳坊,普工操作工,4.5-6K,"厂内食堂有餐补4人间宿舍缴纳社保坐班恒温车间车间流水线做六休一长白班月结工资
五险一金，带薪年假，加班补助，年终奖，员工旅游，餐补，全勤奖，节日福利",英派尔康,通信/网络设备|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·大兴区·庞各庄,普工/手工,4-5K,"长白班缴纳社保工作餐免费月结工资体检免费住宿免费恒温车间
带薪年假，年终奖，餐补，宿舍有空调，定期体检，节日福利，五险，交通补助，免费工装，包住，员工旅游，包吃，团建聚餐",北京富资园,企业服务|未融资|20-99人,,经验不限|中专/中技,,,,2025/02/19 10:37:00,boss
北京·顺义区·天竺,北京中新京驰汽车...招聘普工/操作工,6-8K,缴纳社保不穿无尘服恒温车间坐班做六休一月结工资体检免费读写26个字母三餐免费厂内食堂工作餐免费,北京中新京驰汽车...,汽车研发/制造|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:00,boss
北京·平谷区·王辛庄村,普工-提供食宿,5-6K,三餐免费厂内食堂缴纳社保恒温车间月休四天月结工资,金丰大通有机,餐饮|20-99人,,经验不限|学历不限,,,,2025/02/19 10:36:58,boss
北京·怀柔区·雁栖,普工/操作工,6-7K,午餐免费活简单不累月结工资两班倒有餐补厂内食堂,诚鑫腾达,电子商务|20-99人,,经验不限|学历不限,,,,2025/02/19 10:36:58,boss
北京,北京顺鲜生活农业科技招聘普工/操作工,5-6K,长白班工作餐免费月结工资4-8人间宿舍,北京顺鲜生活农业科技,其他生活服务|20-99人,,经验不限|学历不限,,,,2025/02/19 10:36:58,boss
北京·房山区·良乡,东方立美广告招聘普工/操作工,6-8K,"有空调三餐免费缴纳社保月结工资不看显微镜底薪6000包吃住涨薪快奖金提成加班费年终奖不穿无尘服包吃包住住宿免费
全勤奖，定期体检，包吃",东方立美广告,生活服务(O2O)|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:36:58,boss
北京·大兴区·亦庄,普工/操作工,4.5-5.5K,"做六休一需穿无尘服缴纳社保月结工资有餐补读写26个字母车间流水线
餐补，节日福利，免费工装，五险一金",尚新融大电子,电子/半导体/集成电路|A轮|100-499人,,经验不限|学历不限,,,,2025/02/19 10:36:58,boss
北京·大兴区·亦庄,北京方腾招聘普工/操作工,5-6K,"做六休一月结工资有餐补
定期体检，加班补助，带薪年假，节日福利，员工旅游，包吃，免费班车",北京方腾,进出口贸易|未融资|20-99人,,1年以内|学历不限,,,,2025/02/19 10:36:58,boss
北京,普工/操作工,4-7K,"厂内食堂有餐补住宿免费缴纳社保需穿无尘服
定期体检，补充医疗保险，餐补，年终奖，带薪年假，交通补助，节日福利，五险一金",七一八友晟,仪器仪表/工业自动化|未融资|500-999人,,经验不限|大专,,,,2025/02/19 10:36:58,boss
北京·大兴区·瀛海,普工,6.5-7.5K,有空调工作餐免费月结工资厂内食堂住宿免费月休四天,北京延锋北汽汽车...,汽车零部件|100-499人,,经验不限|学历不限,,,,2025/02/19 10:36:58,boss
北京·房山区·窦店,普工/操作工/临时工/学徒工/包装工,3-5K,做五休二周结工资身体健康能吃苦耐劳头脑灵活,北京环宇明珠科技,医疗器械|20-99人,,经验不限|高中,,,,2025/02/19 10:36:58,boss
北京·通州区·物资学院,北京军伟物业服务...招聘普工/操作工,5-6K,交通补助，年终奖，带薪年假，节日福利，员工旅游，包吃，加班补助，补充医疗保险，通讯补贴，零食下午茶，五险一金，股票期权，全勤奖，餐补,北京军伟物业服务...,物业管理|未融资|500-999人,,1年以内|初中及以下,,,,2025/02/19 10:36:58,boss
北京·通州区·宋庄,普工技工,6-8K,长白班月结工资不看显微镜不穿无尘服有餐补读写26个字母住宿免费缴纳商保水电免费常年干技工,华成易博,批发/零售|0-20人,,经验不限|中专/中技,,,,2025/02/19 10:36:58,boss
北京·顺义区·石园,普工/操作工,4-6K,"长白班做五休二缴纳社保坐班月结工资有餐补体检免费
五险一金，全勤奖，节假日加班费，绩效奖金，保底工资，员工旅游，底薪加提成，意外险，免费工装，法定节假日三薪",北京顺义吉照林科技,铁路/船舶/航空/航天制造|0-20人,,经验不限|学历不限,,,,2025/02/19 10:36:58,boss
